date,type,electricity_consumption_kWh
2006-05-01,Other,178339266.2
2006-06-01,Other,188060388.5
2006-07-01,Other,175829693.1
2006-08-01,Other,183505832.3
2006-09-01,Other,185760927.29999998
2006-10-01,Other,193836189.10000002
2006-11-01,Other,189520616.60000002
2006-12-01,Other,185949629.4
2006-01-01,Free of Charge,115927834.3
2006-02-01,Free of Charge,110860734.8
2006-03-01,Free of Charge,117878853.39999999
2006-04-01,Free of Charge,115640360.8
2006-05-01,Free of Charge,114951345.7
2006-06-01,Free of Charge,209753815.3
2006-07-01,Free of Charge,116665075.2
2006-08-01,Free of Charge,119204181.89999999
2006-09-01,Free of Charge,120445560.0
2006-10-01,Free of Charge,125643771.3
2006-11-01,Free of Charge,133482867.4
2006-12-01,Free of Charge,135567233.89999998
2007-01-01,Residential,1912230151.0
2007-02-01,Residential,1954590114.0
2007-03-01,Residential,2486206841.0
2007-04-01,Residential,2556700148.0
2007-05-01,Residential,2491491064.0
2007-06-01,Residential,2551850118.0
2007-07-01,Residential,2403096944.0
2007-08-01,Residential,2439958203.0
2007-09-01,Residential,2402248457.0
2007-10-01,Residential,2357423490.0
2007-11-01,Residential,2222446878.0
2007-12-01,Residential,2159742522.0
2007-01-01,Business,1924410891.0
2007-02-01,Business,1978325164.0
2007-03-01,Business,2282481422.0
2007-04-01,Business,2200053894.0
2007-05-01,Business,2247198483.0
2007-06-01,Business,2315207374.0
2007-07-01,Business,2252852417.0
2007-08-01,Business,2264495979.0
2007-09-01,Business,2236264343.0
2007-10-01,Business,2208569347.0
2007-11-01,Business,2082808809.0
2007-12-01,Business,2133518173.9999998
2007-01-01,Industrial,5510289282.0
2007-02-01,Industrial,5545129425.0
2007-03-01,Industrial,6225204424.0
2007-04-01,Industrial,5579731843.0
2007-05-01,Industrial,6136252331.0
2007-06-01,Industrial,6036758665.0
2007-07-01,Industrial,6078614863.0
2007-08-01,Industrial,6112019756.0
2007-09-01,Industrial,6031110154.0
2007-10-01,Industrial,6117327748.0
2007-11-01,Industrial,5964086647.0
2007-12-01,Industrial,5763825599.0
2007-01-01,Government & Non-Profit,290131079.0
2007-02-01,Government & Non-Profit,297293394.0
2007-03-01,Government & Non-Profit,358790257.0
2007-04-01,Government & Non-Profit,333052993.0
2007-05-01,Government & Non-Profit,343229438.0
2007-06-01,Government & Non-Profit,399971596.0
2007-07-01,Government & Non-Profit,393182505.0
2007-08-01,Government & Non-Profit,380299971.0
2007-09-01,Government & Non-Profit,410127213.0
2007-10-01,Government & Non-Profit,353573902.0
2007-11-01,Government & Non-Profit,333940199.0
2007-12-01,Government & Non-Profit,336203674.0
2007-01-01,Agriculture,31916677.0
2007-02-01,Agriculture,36922969.0
2007-03-01,Agriculture,37629850.0
2007-04-01,Agriculture,33082630.0
2007-05-01,Agriculture,12556293.0
2007-06-01,Agriculture,16453938.0
2007-07-01,Agriculture,27914618.0
2007-08-01,Agriculture,22246200.0
2007-09-01,Agriculture,10721140.0
2007-10-01,Agriculture,8794073.0
2007-11-01,Agriculture,11092792.0
2007-12-01,Agriculture,18434405.0
2007-01-01,Other,171351179.4
2007-02-01,Other,0.0
2007-03-01,Other,206296101.70000002
2007-04-01,Other,199938249.79999998
2007-05-01,Other,156626115.0
2007-06-01,Other,178958295.4
2007-07-01,Other,169908080.2
2007-08-01,Other,192699820.8
2007-09-01,Other,168482030.7
2007-10-01,Other,184454231.5
2007-11-01,Other,169400372.2
2007-12-01,Other,174990824.9
2007-01-01,Free of Charge,133521926.00000001
2007-02-01,Free of Charge,126893847.0
2007-03-01,Free of Charge,132159799.99999999
2007-04-01,Free of Charge,131768475.0
2007-05-01,Free of Charge,128873428.99999999
2007-06-01,Free of Charge,126808652.0
2007-07-01,Free of Charge,130540558.0
2007-08-01,Free of Charge,134054901.0
2007-09-01,Free of Charge,136516093.0
2007-10-01,Free of Charge,141494420.0
2007-11-01,Free of Charge,145642041.0
2007-12-01,Free of Charge,154964394.4
2008-01-01,Residential,2164650730.0
2008-02-01,Residential,2178408555.0
2008-03-01,Residential,2395060175.0
2008-04-01,Residential,2688771601.0
2008-05-01,Residential,2546264742.0
2008-06-01,Residential,2454198860.0
2008-07-01,Residential,2498382580.0
2008-08-01,Residential,2522132059.0
2008-09-01,Residential,2438558982.0
2008-10-01,Residential,2550143377.0
2008-11-01,Residential,2235920350.0
2008-12-01,Residential,2018723138.0
2008-01-01,Business,2157524500.0
2008-02-01,Business,2111040838.9999998
2008-03-01,Business,2353159113.0
2008-04-01,Business,2342195707.0
2008-05-01,Business,2359997682.0
2008-06-01,Business,2346505207.0
2008-07-01,Business,2376077235.0
2008-08-01,Business,2426140412.0
2008-09-01,Business,2313027152.0
2008-10-01,Business,2355590452.0
2008-11-01,Business,2150928783.0
2008-12-01,Business,2003009420.0
2008-01-01,Industrial,5818588306.0
2008-02-01,Industrial,5702746996.0
2008-03-01,Industrial,6384487637.0
2008-04-01,Industrial,5730199244.0
2008-05-01,Industrial,6313627964.0
2008-06-01,Industrial,6192709826.0
2008-07-01,Industrial,6313545031.0
2008-08-01,Industrial,6218794742.0
2008-09-01,Industrial,5905433897.0
2008-10-01,Industrial,5898128090.0
2008-11-01,Industrial,5400934593.0
2008-12-01,Industrial,4823444145.0
2008-01-01,Government & Non-Profit,326989261.0
2008-02-01,Government & Non-Profit,330357735.0
2008-03-01,Government & Non-Profit,354999101.0
2008-04-01,Government & Non-Profit,342596313.0
2008-05-01,Government & Non-Profit,357160257.0
2008-06-01,Government & Non-Profit,400810305.0
2008-07-01,Government & Non-Profit,394767636.0
2008-08-01,Government & Non-Profit,410596429.0
2008-09-01,Government & Non-Profit,426588248.0
2008-10-01,Government & Non-Profit,384897700.0
2008-11-01,Government & Non-Profit,354221650.0
2008-12-01,Government & Non-Profit,307577210.0
2008-01-01,Agriculture,35778718.0
2008-02-01,Agriculture,35285880.0
2008-03-01,Agriculture,43276351.0
2008-04-01,Agriculture,38377554.0
2008-05-01,Agriculture,14467746.0
2008-06-01,Agriculture,14900989.0
2008-07-01,Agriculture,26561025.0
2008-08-01,Agriculture,20504493.0
2008-09-01,Agriculture,13864420.0
2008-10-01,Agriculture,11860464.0
2008-11-01,Agriculture,5979275.0
2008-12-01,Agriculture,20599630.0
2008-01-01,Other,183876503.79999998
2008-02-01,Other,171536692.3
2008-03-01,Other,174490651.0
2008-04-01,Other,188313972.29999998
2008-05-01,Other,199958375.3
2008-06-01,Other,170871200.3
2008-07-01,Other,188435347.79999998
2008-08-01,Other,234840529.2
2008-09-01,Other,166443639.20000002
2008-10-01,Other,264411804.80000004
2008-11-01,Other,214858236.5
2008-12-01,Other,222748529.9
2008-01-01,Free of Charge,159019913.0
2008-02-01,Free of Charge,153219219.39999998
2008-03-01,Free of Charge,144614943.0
2008-04-01,Free of Charge,141338692.0
2008-05-01,Free of Charge,142585969.0
2008-06-01,Free of Charge,141097502.20000002
2008-07-01,Free of Charge,146251211.39999998
2008-08-01,Free of Charge,148295655.0
2008-09-01,Free of Charge,146756369.0
2008-10-01,Free of Charge,152277121.6
2008-11-01,Free of Charge,150084524.0
2008-12-01,Free of Charge,151889797.0
2009-01-01,Residential,2019316807.0
2009-02-01,Residential,2210097829.0
2009-03-01,Residential,2689300119.0
2009-04-01,Residential,2766726174.0
2009-05-01,Residential,2740119114.0
2009-06-01,Residential,2590734747.0
2009-07-01,Residential,2609814612.0
2009-08-01,Residential,2700777935.0
2009-09-01,Residential,2625490591.0
2009-10-01,Residential,2601094172.0
2009-11-01,Residential,2438462869.0
2009-12-01,Residential,2264568169.0
2009-01-01,Business,1984806565.0
2009-02-01,Business,2135911799.0
2009-03-01,Business,2453320191.0
2009-04-01,Business,2332017375.0
2009-05-01,Business,2393203012.0
2009-06-01,Business,2390051619.0
2009-07-01,Business,2396145533.0
2009-08-01,Business,2470987305.0
2009-09-01,Business,2386078653.0
2009-10-01,Business,2379280849.0
2009-11-01,Business,2249623010.0
2009-12-01,Business,2283203892.0
2009-01-01,Industrial,4700124096.0
2009-02-01,Industrial,4880654107.0
2009-03-01,Industrial,5693396763.0
2009-04-01,Industrial,5165492761.0
2009-05-01,Industrial,5847614697.0
2009-06-01,Industrial,5785334343.0
2009-07-01,Industrial,5923005573.0
2009-08-01,Industrial,6014812325.0
2009-09-01,Industrial,5935720204.0
2009-10-01,Industrial,6162348530.0
2009-11-01,Industrial,5873811548.0
2009-12-01,Industrial,5740616421.0
2009-01-01,Government & Non-Profit,299805112.0
2009-02-01,Government & Non-Profit,339605186.0
2009-03-01,Government & Non-Profit,408377351.0
2009-04-01,Government & Non-Profit,347889349.0
2009-05-01,Government & Non-Profit,390779430.0
2009-06-01,Government & Non-Profit,427475246.0
2009-07-01,Government & Non-Profit,411845856.0
2009-08-01,Government & Non-Profit,436600895.0
2009-09-01,Government & Non-Profit,468041093.0
2009-10-01,Government & Non-Profit,409070013.0
2009-11-01,Government & Non-Profit,385837474.0
2009-12-01,Government & Non-Profit,351297108.0
2009-01-01,Agriculture,38061130.0
2009-02-01,Agriculture,44724893.0
2009-03-01,Agriculture,45879076.0
2009-04-01,Agriculture,33134110.999999996
2009-05-01,Agriculture,20174420.0
2009-06-01,Agriculture,18991934.0
2009-07-01,Agriculture,24069295.0
2009-08-01,Agriculture,25999077.0
2009-09-01,Agriculture,16937158.0
2009-10-01,Agriculture,10158358.0
2009-11-01,Agriculture,12209803.0
2009-12-01,Agriculture,27520746.0
2009-01-01,Other,188995564.4
2009-02-01,Other,199054696.1
2009-03-01,Other,202776118.3
2009-04-01,Other,207160486.20000002
2009-05-01,Other,202219583.4
2009-06-01,Other,205128073.6
2009-07-01,Other,229812528.29999998
2009-08-01,Other,230014271.29999998
2009-09-01,Other,194832011.3
2009-10-01,Other,222359859.4
2009-11-01,Other,213881570.1
2009-12-01,Other,212942552.5
2009-01-01,Free of Charge,157706901.0
2009-02-01,Free of Charge,144293701.0
2009-03-01,Free of Charge,158163553.0
2009-04-01,Free of Charge,151824994.0
2009-05-01,Free of Charge,154343574.0
2009-06-01,Free of Charge,151379428.0
2009-07-01,Free of Charge,155271981.0
2009-08-01,Free of Charge,159292683.0
2009-09-01,Free of Charge,113016432.0
2009-10-01,Free of Charge,165261760.29999998
2009-11-01,Free of Charge,164053506.0
2009-12-01,Free of Charge,168498446.0
2010-01-01,Residential,2427749097.0
2010-02-01,Residential,2464573006.0
2010-03-01,Residential,2872615193.0
2010-04-01,Residential,3134387275.0
2010-05-01,Residential,3304331944.0
2010-06-01,Residential,3007303068.0
2010-07-01,Residential,2906591435.0
2010-08-01,Residential,2761558473.0
2010-09-01,Residential,2701776114.0
2010-10-01,Residential,2709978791.0
2010-11-01,Residential,2436586121.0
2010-12-01,Residential,2486354158.0
2010-01-01,Business,2338483115.0
2010-02-01,Business,2357169646.0
2010-03-01,Business,2577644543.0
2010-04-01,Business,2553285802.0
2010-05-01,Business,2602445348.0
2010-06-01,Business,2594246659.0
2010-07-01,Business,2692808531.0
2010-08-01,Business,2521128738.0
2010-09-01,Business,2529517302.0
2010-10-01,Business,2445075778.0
2010-11-01,Business,2339217143.0
2010-12-01,Business,2406569861.0
2010-01-01,Industrial,5812058035.0
2010-02-01,Industrial,5757525080.0
2010-03-01,Industrial,6648628733.0
2010-04-01,Industrial,6019053152.0
2010-05-01,Industrial,6635246516.0
2010-06-01,Industrial,6371715136.0
2010-07-01,Industrial,6586253313.0
2010-08-01,Industrial,6416854355.0
2010-09-01,Industrial,6353845677.0
2010-10-01,Industrial,6540119723.0
2010-11-01,Industrial,6193841521.0
2010-12-01,Industrial,6098114069.0
2010-01-01,Government & Non-Profit,371115607.0
2010-02-01,Government & Non-Profit,391163272.0
2010-03-01,Government & Non-Profit,416433552.0
2010-04-01,Government & Non-Profit,399273114.0
2010-05-01,Government & Non-Profit,440154912.0
2010-06-01,Government & Non-Profit,476136147.0
2010-07-01,Government & Non-Profit,472266208.0
2010-08-01,Government & Non-Profit,441201444.0
2010-09-01,Government & Non-Profit,464497406.0
2010-10-01,Government & Non-Profit,415563266.0
2010-11-01,Government & Non-Profit,374053289.0
2010-12-01,Government & Non-Profit,387529957.0
2010-01-01,Agriculture,43650804.0
2010-02-01,Agriculture,48475870.0
2010-03-01,Agriculture,55488253.0
2010-04-01,Agriculture,42418242.0
2010-05-01,Agriculture,27335258.0
2010-06-01,Agriculture,27448874.0
2010-07-01,Agriculture,30425272.0
2010-08-01,Agriculture,11565443.0
2010-09-01,Agriculture,8522557.0
2010-10-01,Agriculture,9463842.0
2010-11-01,Agriculture,9624238.0
2010-12-01,Agriculture,20869798.0
2010-01-01,Other,266008242.39999998
